date,ticker,company,open,high,low,close,adj_close,volume
2020-01-02,AAPL,Apple Inc.,74.06,75.15,73.7975,75.0875,72.3339,135480400
2020-01-03,AAPL,Apple Inc.,74.2875,75.145,74.125,74.3575,71.6306,146322800
2020-01-06,AAPL,Apple Inc.,73.4475,74.99,73.1875,74.95,72.2014,118387200
2020-01-07,AAPL,Apple Inc.,74.96,75.225,74.37,74.5975,71.8618,108872000
2020-01-08,AAPL,Apple Inc.,74.29,76.11,74.29,75.7975,73.0178,132079200
2020-01-09,AAPL,Apple Inc.,76.81,77.6075,76.55,77.4075,74.5688,170108400
2020-01-10,AAPL,Apple Inc.,77.65,78.1675,77.0625,77.5825,74.7374,140644800
2020-01-13,AAPL,Apple Inc.,77.91,79.2675,77.7875,79.24,76.3341,121532000
2020-01-14,AAPL,Apple Inc.,79.175,79.3925,78.0425,78.17,75.3033,161954400
2020-01-15,AAPL,Apple Inc.,77.9625,78.875,77.3875,77.835,74.9806,121923600
2020-01-16,AAPL,Apple Inc.,78.3975,78.925,78.0225,78.81,75.9199,108829200
2020-01-17,AAPL,Apple Inc.,79.0675,79.685,78.75,79.6825,76.7604,137816400
2020-01-21,AAPL,Apple Inc.,79.2975,79.755,79.0,79.1425,76.2402,110843200
2020-01-22,AAPL,Apple Inc.,79.645,79.9975,79.3275,79.425,76.5123,101832400
2020-01-23,AAPL,Apple Inc.,79.48,79.89,78.9125,79.8075,76.8808,104472000
2020-01-24,AAPL,Apple Inc.,80.0625,80.8325,79.38,79.5775,76.6592,146537600
2020-01-27,AAPL,Apple Inc.,77.515,77.9425,76.22,77.2375,74.405,161940000
2020-01-28,AAPL,Apple Inc.,78.15,79.6,78.0475,79.4225,76.5099,162234000
2020-01-29,AAPL,Apple Inc.,81.1125,81.9625,80.345,81.085,78.1114,216229200
2020-01-30,AAPL,Apple Inc.,80.135,81.0225,79.6875,80.9675,77.9982,126743200
2020-01-31,AAPL,Apple Inc.,80.2325,80.67,77.0725,77.3775,74.5399,199588400
2020-02-03,AAPL,Apple Inc.,76.075,78.3725,75.555,77.165,74.3352,173788400
2020-02-04,AAPL,Apple Inc.,78.8275,79.91,78.4075,79.7125,76.7893,136616400
2020-02-05,AAPL,Apple Inc.,80.88,81.19,79.7375,80.3625,77.4154,118826800
2020-02-06,AAPL,Apple Inc.,80.6425,81.305,80.065,81.3025,78.3209,105425600
2020-02-07,AAPL,Apple Inc.,80.5925,80.85,79.5,80.0075,77.2564,117684000
2020-02-10,AAPL,Apple Inc.,78.545,80.3875,78.4625,80.3875,77.6233,109348800
2020-02-11,AAPL,Apple Inc.,80.9,80.975,79.6775,79.9025,77.155,94323200
2020-02-12,AAPL,Apple Inc.,80.3675,81.805,80.3675,81.8,78.9872,113730400
2020-02-13,AAPL,Apple Inc.,81.0475,81.555,80.8375,81.2175,78.4247,94747600
2020-02-14,AAPL,Apple Inc.,81.185,81.495,80.7125,81.2375,78.4441,80113600
2020-02-18,AAPL,Apple Inc.,78.84,79.9375,78.6525,79.75,77.0077,152531200
2020-02-19,AAPL,Apple Inc.,80.0,81.1425,80.0,80.905,78.123,93984000
2020-02-20,AAPL,Apple Inc.,80.6575,81.1625,79.5525,80.075,77.3215,100566000
2020-02-21,AAPL,Apple Inc.,79.655,80.1125,77.625,78.2625,75.5714,129554000
2020-02-24,AAPL,Apple Inc.,74.315,76.045,72.3075,74.545,71.9817,222195200
2020-02-25,AAPL,Apple Inc.,75.2375,75.6325,71.5325,72.02,69.5435,230673600
2020-02-26,AAPL,Apple Inc.,71.6325,74.47,71.625,73.1625,70.6467,198054800
2020-02-27,AAPL,Apple Inc.,70.275,71.5,68.24,68.38,66.0287,320605600
2020-02-28,AAPL,Apple Inc.,64.315,69.6025,64.0925,68.34,65.9901,426510000
2020-03-02,AAPL,Apple Inc.,70.57,75.36,69.43,74.7025,72.1338,341397200
2020-03-03,AAPL,Apple Inc.,75.9175,76.0,71.45,72.33,69.8428,319475600
2020-03-04,AAPL,Apple Inc.,74.11,75.85,73.2825,75.685,73.0825,219178400
2020-03-05,AAPL,Apple Inc.,73.88,74.8875,72.8525,73.23,70.7119,187572800
2020-03-06,AAPL,Apple Inc.,70.5,72.705,70.3075,72.2575,69.7728,226176800
2020-03-09,AAPL,Apple Inc.,65.9375,69.5225,65.75,66.5425,64.2544,286744800
2020-03-10,AAPL,Apple Inc.,69.285,71.61,67.3425,71.335,68.8821,285290000
2020-03-11,AAPL,Apple Inc.,69.3475,70.305,67.965,68.8575,66.4898,255598800
2020-03-12,AAPL,Apple Inc.,63.985,67.5,62.0,62.0575,59.9236,418474000
2020-03-13,AAPL,Apple Inc.,66.2225,69.98,63.2375,69.4925,67.1029,370732000
2020-03-16,AAPL,Apple Inc.,60.4875,64.77,60.0,60.5525,58.4704,322423600
2020-03-17,AAPL,Apple Inc.,61.8775,64.4025,59.6,63.215,61.0413,324056000
2020-03-18,AAPL,Apple Inc.,59.9425,62.5,59.28,61.6675,59.547,300233600
2020-03-19,AAPL,Apple Inc.,61.8475,63.21,60.6525,61.195,59.0908,271857200
2020-03-20,AAPL,Apple Inc.,61.795,62.9575,57.0,57.31,55.3393,401693200
2020-03-23,AAPL,Apple Inc.,57.02,57.125,53.1525,56.0925,54.1637,336752800
2020-03-24,AAPL,Apple Inc.,59.09,61.9225,58.575,61.72,59.5977,287531200
2020-03-25,AAPL,Apple Inc.,62.6875,64.5625,61.075,61.38,59.2694,303602000
2020-03-26,AAPL,Apple Inc.,61.63,64.67,61.59,64.61,62.3883,252087200
2020-03-27,AAPL,Apple Inc.,63.1875,63.9675,61.7625,61.935,59.8053,204216800
2020-03-30,AAPL,Apple Inc.,62.685,63.88,62.35,63.7025,61.512,167976400
2020-03-31,AAPL,Apple Inc.,63.9,65.6225,63.0,63.5725,61.3865,197002000
2020-04-01,AAPL,Apple Inc.,61.625,62.18,59.7825,60.2275,58.1565,176218400
2020-04-02,AAPL,Apple Inc.,60.085,61.2875,59.225,61.2325,59.127,165934000
2020-04-03,AAPL,Apple Inc.,60.7,61.425,59.7425,60.3525,58.2772,129880000
2020-04-06,AAPL,Apple Inc.,62.725,65.7775,62.345,65.6175,63.3612,201820400
2020-04-07,AAPL,Apple Inc.,67.7,67.925,64.75,64.8575,62.6273,202887200
2020-04-08,AAPL,Apple Inc.,65.685,66.8425,65.3075,66.5175,64.2302,168895200
2020-04-09,AAPL,Apple Inc.,67.175,67.5175,66.175,66.9975,64.6937,161834800
2020-04-13,AAPL,Apple Inc.,67.0775,68.425,66.4575,68.3125,65.9635,131022800
2020-04-14,AAPL,Apple Inc.,70.0,72.0625,69.5125,71.7625,69.2949,194994800
2020-04-15,AAPL,Apple Inc.,70.6,71.5825,70.1575,71.1075,68.6624,131154400
2020-04-16,AAPL,Apple Inc.,71.845,72.05,70.5875,71.6725,69.208,157125200
2020-04-17,AAPL,Apple Inc.,71.1725,71.7375,69.215,70.7,68.2689,215250000
2020-04-20,AAPL,Apple Inc.,69.4875,70.42,69.2125,69.2325,66.8519,130015200
2020-04-21,AAPL,Apple Inc.,69.07,69.3125,66.3575,67.0925,64.7855,180991600
2020-04-22,AAPL,Apple Inc.,68.4025,69.475,68.05,69.025,66.6515,116862400
2020-04-23,AAPL,Apple Inc.,68.9675,70.4375,68.7175,68.7575,66.3932,124814400
2020-04-24,AAPL,Apple Inc.,69.3,70.7525,69.25,70.7425,68.3099,126161200
